WTP,TestDate,RawWaterTotalViolation,wqc_raw_total_min,wqc_raw_total_avg,wqc_raw_total_max
Langat 2,9/3/2022,Ferum/Iron (Fe),1.2,6.7,12.2
Langat 2,9/3/2022,Turbidity,178,723.5,2229
Langat 2,9/3/2022,Manganese (Mn),0.14,1.79,3.43
Langat 2,10/3/2022,Color,15,27.33,51
Langat 2,10/3/2022,pH,6.63,6.85,7.06
Langat 2,10/3/2022,Ammonia (NH4),0.11,0.76,1.41
Langat 2,10/3/2022,Ferum/Iron (Fe),1.71,14.26,26.8
Langat 2,10/3/2022,Turbidity,221,1618.83,4374
Langat 2,10/3/2022,Manganese (Mn),0.21,4.12,8.02
Langat 2,11/3/2022,Color,17,19.67,26
Langat 2,11/3/2022,pH,6.89,6.98,7.08
Langat 2,11/3/2022,Ammonia (NH4),0.74,2.01,3.28
Langat 2,11/3/2022,Ferum/Iron (Fe),1.1,4.45,7.8
Langat 2,11/3/2022,Turbidity,411,791.5,1384
Langat 2,11/3/2022,Manganese (Mn),0.73,1.5,2.26
Langat 2,12/3/2022,Color,11,12.5,14
Langat 2,12/3/2022,pH,6.97,7.03,7.1
Langat 2,12/3/2022,Ammonia (NH4),0.09,0.21,0.32
Langat 2,12/3/2022,Ferum/Iron (Fe),1.79,1.94,2.09
Langat 2,12/3/2022,Turbidity,141,336.83,555
Langat 2,12/3/2022,Manganese (Mn),0.35,0.46,0.56
Langat 2,13/3/2022,Color,10,12.17,13
Langat 2,13/3/2022,pH,7.04,7.08,7.1
Langat 2,13/3/2022,Ammonia (NH4),0.1,0.12,0.14
Langat 2,13/3/2022,Ferum/Iron (Fe),1.1,1.17,1.23
Langat 2,13/3/2022,Turbidity,90,99.33,122
Langat 2,13/3/2022,Manganese (Mn),0.22,0.23,0.24
Langat 2,14/3/2022,Color,8,10,12
Langat 2,14/3/2022,pH,7.13,7.2,7.26
Langat 2,14/3/2022,Ammonia (NH4),0.09,0.11,0.12
Langat 2,14/3/2022,Ferum/Iron (Fe),1.11,1.11,1.11
Langat 2,14/3/2022,Turbidity,70,80.33,92
Langat 2,14/3/2022,Manganese (Mn),0.14,0.15,0.16
Langat 2,15/3/2022,Color,9,13,20
Langat 2,15/3/2022,pH,7.06,7.17,7.23
